scenario,repeat_id,n,events,symbol,tcga_log_hr,log_hr,hr,p_value,same_tcga_direction
full_cohort,240,73,16,HHLA2,-0.46651200190082415,-0.7675666166311154,0.46414112855611533,0.0028232457401064807,TRUE
full_cohort,240,73,16,DDC,-0.4170476451847731,-0.4712884431477186,0.6241975069487675,0.055032832008728896,TRUE
full_cohort,240,73,16,KL,-0.4143562134600067,-0.12584189809470483,0.8817542427895257,0.6189345417744958,TRUE
full_cohort,240,73,16,RBM47,-0.406043543125073,-0.5533466705727479,0.5750221768045727,0.037029591742794306,TRUE
full_cohort,240,73,16,PANK1,-0.4732407037257613,0.0403398237579905,1.0411645265243503,0.8779901064224747,FALSE
full_cohort,240,73,16,GJB1,-0.4272749730657404,-0.3937888566624025,0.67449645663952,0.1180116946210212,TRUE
full_cohort,240,73,16,ACADM,-0.4484141243283115,-0.8226041455585614,0.4392861984835072,1.0044220205000033e-5,TRUE
full_cohort,240,73,16,CLCN5,-0.4176541545204886,0.027698819247145096,1.028085998073083,0.9111949123009723,FALSE
full_cohort,240,73,16,TMEM140,-0.4073424327415841,-0.3083885642149633,0.734629811687824,0.19369465876470665,TRUE
full_cohort,240,73,16,C1QTNF6,0.43509983532112984,0.6955284863069426,2.004768286614894,0.009101399255915254,TRUE
full_cohort,240,73,16,CADPS2,-0.41010601450174866,-0.41133761040918193,0.6627631380911022,0.052011994714497856,TRUE
full_cohort,240,73,16,KNTC1,0.41317926152804135,0.4716473770105062,1.6026321591338253,0.06607139718195394,TRUE
full_cohort,240,73,16,PODXL,-0.41295393620776416,-0.6009561675332878,0.5482871310230237,0.011136991893054032,TRUE
full_cohort,240,73,16,HIBCH,-0.4099623749107515,-0.6101301395866284,0.5432801622179846,0.04554448779979335,TRUE
full_cohort,240,73,16,TNIP1,-0.414945866298316,0.015161593895419798,1.0152771139444499,0.9585060401729784,FALSE
full_cohort,240,73,16,TCIRG1,0.4257531411377312,0.5841954198297763,1.7935473523243712,0.036166154046025085,TRUE
full_cohort,240,73,16,LTB4R,0.4152348937982004,0.43224623257687833,1.5407144425452524,0.0541408130339021,TRUE
full_cohort,240,73,16,LRBA,-0.42337150345977026,-0.4781943613662577,0.6199017003310047,0.049315429905138104,TRUE
full_cohort,240,73,16,GRAMD1A,0.4057580580941821,0.6164185565849787,1.8522823040224494,0.014829706129407443,TRUE
full_cohort,240,73,16,IFFO1,0.4086497996244981,0.37941017610312106,1.4614223533480597,0.10401670826591863,TRUE
full_cohort,240,73,16,TNFAIP2,0.42728551519013547,0.30727076815857096,1.3597090841575838,0.2474843853498481,TRUE
