accession,symbol,log2FoldChange,AveExpr,t,pvalue,padj,B,significant
GSE40435,C19orf46,-0.9637524205841593,7.292978919242574,-29.62941402763028,8.335177240508771e-52,2.193342353859594e-49,107.77500889743081,FALSE
GSE40435,CLDN16,-1.0550459802722771,7.260065205462872,-29.596508574074853,9.223851856858295e-52,2.406964142047172e-49,107.67396372685992,TRUE
GSE40435,TBC1D13,-1.0537349785346541,8.485875435356435,-29.57368003769618,9.895982343358765e-52,2.561014802478813e-49,107.60380885622288,TRUE
GSE40435,PRDX4,1.4599835714752492,10.395936456163366,29.521376400901435,1.1628305374482153e-51,2.984661922102739e-49,107.44290753278469,TRUE
GSE40435,ASS1,-2.349418770211223,9.945136206782179,-29.51380341465256,1.1903320878745691e-51,3.030411300788964e-49,107.41959164218358,TRUE
GSE40435,HPD,-4.157345088247529,9.089270775529704,-29.488212631288423,1.2882148537461872e-51,3.2531580588877505e-49,107.34076621445384,TRUE
GSE40435,TSPAN33,-1.7553629732871303,10.067416537316833,-29.45101153316123,1.4451780750013782e-51,3.6203444992474524e-49,107.22607942752144,TRUE
GSE40435,C3orf75,-0.5713718176171618,8.245087526768977,-29.42766166948853,1.5534174841789868e-51,3.860612309490539e-49,107.15403446531069,FALSE
GSE40435,UPP2,-2.860402291039605,8.297671709064357,-29.417210767107143,1.604477756540197e-51,3.9561115329369865e-49,107.12177367401428,TRUE
GSE40435,ADHFE1,-1.0654471370000003,8.315703215029703,-29.396266128303672,1.7119622822917573e-51,4.188155227162819e-49,107.05709192552438,TRUE
GSE40435,CADM4,-1.4459374574356427,7.732701017935644,-29.334839554777222,2.0709764866598602e-51,5.027175015757121e-49,106.86717757333234,TRUE
GSE40435,SCARB1,2.3689001509603975,8.88677780069802,29.280809936172133,2.44913674513789e-51,5.899405233634453e-49,106.69986663870353,TRUE
GSE40435,FLJ12684,-0.9367221326138622,7.166973867267327,-29.27643513719693,2.4826494001829793e-51,5.9344796425442605e-49,106.68630849500494,FALSE
GSE40435,LPPR1,-1.323146528834984,7.418969904070957,-29.257981910224217,2.6291759598336234e-51,6.2371224247144e-49,106.62910122552343,TRUE
