scenario,symbol,tcga_log_hr,successful_repeats,n,events,median_log_hr,log_hr_ci_low,log_hr_ci_high,log_hr_sd,same_tcga_direction_fraction,nominal_p_lt_0_05_fraction,patient_median_log_hr,patient_median_hr,patient_median_p_value
size_matched_39,CRYL1,-0.4562451822719112,1000,39,9,-0.33615211593923383,-0.8966894324745501,0.27828589912978385,0.30107898362729907,0.868,0.165,-0.3991397216994401,0.6708969559416309,0.06067132515224212
size_matched_39,CYFIP2,-0.4403276873957715,1000,39,9,-0.24581448827898766,-0.7972293615209456,0.2056746334805531,0.26019107297340105,0.854,0.043,-0.2578453319835794,0.7727147371205375,0.29300111775322757
size_matched_39,TMEM140,-0.4073424327415841,1000,39,9,-0.2865514442612158,-0.9495150403442099,0.25583217320433926,0.2998866362269894,0.845,0.089,-0.3017509475285243,0.7395222217932628,0.1824880076146434
size_matched_39,RBM47,-0.406043543125073,1000,39,9,-0.32156103769919486,-1.0290944884824442,0.3569737959495308,0.34636710505581353,0.832,0.122,-0.35621342131056327,0.7003231404022864,0.18566282120397373
size_matched_39,IFFO1,0.4086497996244981,1000,39,9,0.29821146098665263,-0.3968007483215898,0.822287469273145,0.3115227778835007,0.805,0.113,0.35497550595252925,1.4261457217726532,0.13695837657564577
size_matched_39,DDC,-0.4170476451847731,1000,39,9,-0.2571778992483553,-0.8998429610169779,0.39542214127384034,0.32453870972407384,0.804,0.105,-0.30139144362825715,0.7397881307111143,0.21227277319099894
size_matched_39,TNFAIP2,0.42728551519013547,1000,39,9,0.3183830012879828,-0.3459864967701534,0.9975431423836721,0.35908990694201903,0.804,0.115,0.32779368574577644,1.3879025986593698,0.21240359590191227
size_matched_39,GJB1,-0.4272749730657404,1000,39,9,-0.2458904405505701,-0.8344874431285026,0.4690041508758424,0.32239879240119645,0.78,0.096,-0.3623731800312634,0.6960225776432437,0.15033343617143421
size_matched_39,LTB4R,0.4152348937982004,1000,39,9,0.19844239728239976,-0.6681258254635932,0.7938169746819415,0.3679184788836378,0.694,0.076,0.20231971205388735,1.2242393496266437,0.44653195859124883
size_matched_39,KL,-0.4143562134600067,1000,39,9,-0.07681422806969121,-0.6748322035480049,0.6770386973012686,0.33594610389757096,0.585,0.049,-0.04413407162047565,0.9568256657055825,0.8630131650241293
size_matched_39,CLCN5,-0.4176541545204886,1000,39,9,-0.055402140855846285,-0.7206372959680957,0.5262974751105429,0.31587680020143705,0.563,0.027,-0.13582815455441952,0.8729926394084548,0.5911423271722551
size_matched_39,PANK1,-0.4732407037257613,1000,39,9,0.005578615253049876,-0.7420943747232073,0.7062343110991369,0.36861626646509915,0.496,0.03,0.005325506312100489,1.005339712027187,0.9842395946875653
size_matched_39,TNIP1,-0.414945866298316,1000,39,9,0.12467284033495421,-0.6263749773251808,0.818420961328837,0.35762808155552206,0.366,0.038,0.07878054213077579,1.081966849874252,0.7854779781843534
