repeat_id,symbol,oob_n,oob_events,clinical_c_index,clinical_gene_c_index,delta_c_index
59,TNFAIP2,192,65,0.7476400251730648,0.7475141598489616,-1.258653241031915e-4
59,FHOD1,192,65,0.7476400251730648,0.7458779106356199,-0.0017621145374449032
60,HHLA2,188,59,0.7626326963906582,0.7773531493276716,0.014720452937013406
60,DDC,188,59,0.7626326963906582,0.7524416135881105,-0.010191082802547768
60,PANK1,188,59,0.7626326963906582,0.7763623496107572,0.013729653220099003
60,ACADM,188,59,0.7626326963906582,0.7827317763623496,0.020099079971691358
60,FUT6,188,59,0.7626326963906582,0.7725406935598018,0.00990799716914359
60,CLCN5,188,59,0.7626326963906582,0.7711252653927814,0.00849256900212314
60,CADPS2,188,59,0.7626326963906582,0.7731068648266101,0.010474168435951836
60,HIBCH,188,59,0.7626326963906582,0.7590941259731069,-0.0035385704175513455
60,TCIRG1,188,59,0.7626326963906582,0.7841472045293701,0.02151450813871192
60,PODXL,188,59,0.7626326963906582,0.7817409766454353,0.019108280254777066
60,ACAT1,188,59,0.7626326963906582,0.7705590941259731,0.007926397735314894
61,ACADM,191,61,0.7920747325598916,0.8039777007684195,0.011902968208527875
61,CLCN5,191,61,0.7920747325598916,0.7822811511224951,-0.009793581437396504
61,TCIRG1,191,61,0.7920747325598916,0.776254331776405,-0.015820400783486566
61,LRBA,191,61,0.7920747325598916,0.78996534578876,-0.002109386771131594
61,GRAMD1A,191,61,0.7920747325598916,0.7884586409522374,-0.0036160916076541927
61,IFFO1,191,61,0.7920747325598916,0.8015669730299835,0.009492240470091895
61,DBT,191,61,0.7920747325598916,0.7858972427301492,-0.006177489829742422
62,DDC,183,63,0.7476011681268252,0.7628980670282297,0.01529689890140451
62,KL,183,63,0.7476011681268252,0.7665136976776525,0.01891252955082734
62,ACADM,183,63,0.7476011681268252,0.7584480600750938,0.0108468919482686
62,FUT6,183,63,0.7476011681268252,0.7641496314837992,0.01654846335697402
62,CLCN5,183,63,0.7476011681268252,0.7723543318036434,0.024753163676818235
62,C1QTNF6,183,63,0.7476011681268252,0.7587261855096649,0.011125017382839664
62,TEK,183,63,0.7476011681268252,0.7627590043109442,0.015157836184119033
62,EMCN,183,63,0.7476011681268252,0.7624808788763733,0.01487971074954808
62,HIBCH,183,63,0.7476011681268252,0.7573355583368099,0.009734390209984678
62,TCIRG1,183,63,0.7476011681268252,0.7474621054095397,-1.3906271728547637e-4
62,PODXL,183,63,0.7476011681268252,0.7521902377972466,0.004589069670421386
62,LRBA,183,63,0.7476011681268252,0.7555277430120985,0.007926574885273263
62,GRAMD1A,183,63,0.7476011681268252,0.7424558475872618,-0.005145320539563403
62,IFFO1,183,63,0.7476011681268252,0.7484355444305382,8.343763037129692e-4
62,DBT,183,63,0.7476011681268252,0.7599777499652343,0.012376581838409062
62,TNFAIP2,183,63,0.7476011681268252,0.7375886524822695,-0.010012515644555742
63,CRYL1,188,59,0.7471264367816092,0.7781758471413645,0.03104941035975528
63,HHLA2,188,59,0.7471264367816092,0.7723540826989103,0.02522764591730109
63,KL,188,59,0.7471264367816092,0.7608598298253471,0.013733393043737885
63,PANK1,188,59,0.7471264367816092,0.7568293775190327,0.009702940737423504
63,ACADM,188,59,0.7471264367816092,0.7823555754590237,0.03522913867741451
63,FUT6,188,59,0.7471264367816092,0.7751903269144649,0.028063890132855707
63,CLCN5,188,59,0.7471264367816092,0.7853410956859233,0.03821465890431408
63,C1QTNF6,188,59,0.7471264367816092,0.7765338110165696,0.029407374234960426
63,TEK,188,59,0.7471264367816092,0.7645917301089715,0.017465293327362352
63,EMCN,188,59,0.7471264367816092,0.7589192416778623,0.011792804896253117
63,HIBCH,188,59,0.7471264367816092,0.7619047619047619,0.014778325123152691
63,PODXL,188,59,0.7471264367816092,0.7769816390506046,0.029855202268995407
63,LRBA,188,59,0.7471264367816092,0.761158381848037,0.014031945066427798
63,GRAMD1A,188,59,0.7471264367816092,0.761606209882072,0.014479773100462778
63,DBT,188,59,0.7471264367816092,0.7395133602030154,-0.00761307657859378
63,TNFAIP2,188,59,0.7471264367816092,0.7508583370652336,0.0037319002836244675
64,CRYL1,185,56,0.7737459978655283,0.7929562433297759,0.019210245464247544
64,KL,185,56,0.7737459978655283,0.792498856533008,0.018752858667479666
64,PANK1,185,56,0.7737459978655283,0.8022564415307212,0.02851044366519284
64,FUT6,185,56,0.7737459978655283,0.798749809422168,0.025003811556639666
64,CLCN5,185,56,0.7737459978655283,0.7947857905168471,0.021039792651318723
64,TEK,185,56,0.7737459978655283,0.7940234791889007,0.02027748132337237
64,LRBA,185,56,0.7737459978655283,0.7885348376276872,0.014788839762158834
64,TNFAIP2,185,56,0.7737459978655283,0.7845708187223662,0.010824820856837891
65,CRYL1,182,66,0.7313951870913896,0.7465572402281263,0.015162053136736686
65,HHLA2,182,66,0.7313951870913896,0.7518430936152456,0.020447906523855974
65,PANK1,182,66,0.7313951870913896,0.7613019891500904,0.029906802058700777
65,CLCN5,182,66,0.7313951870913896,0.747113645847823,0.015718458756433407
65,HIBCH,182,66,0.7313951870913896,0.7490610655167618,0.01766587842537215
65,ACAT1,182,66,0.7313951870913896,0.7461399360133537,0.01474474892196409
66,PANK1,185,64,0.7814127386834023,0.7659233542529043,-0.015489384430498077
66,ACADM,185,64,0.7814127386834023,0.7764721591667779,-0.00494057951662441
66,CLCN5,185,64,0.7814127386834023,0.7565763119241554,-0.02483642675924691
66,CADPS2,185,64,0.7814127386834023,0.7700627587127787,-0.011349979970623592
66,TEK,185,64,0.7814127386834023,0.7939644812391508,0.012551742555748424
66,HIBCH,185,64,0.7814127386834023,0.7701962878889037,-0.011216450794498622
66,TCIRG1,185,64,0.7814127386834023,0.75964748297503,-0.02176525570837229
66,PODXL,185,64,0.7814127386834023,0.7820803845640272,6.676458806248453e-4
66,LRBA,185,64,0.7814127386834023,0.7436239818400321,-0.03778875684337024
66,GRAMD1A,185,64,0.7814127386834023,0.7537721992255308,-0.027640539457871482
66,ACAT1,185,64,0.7814127386834023,0.7812792095072774,-1.3352917612496906e-4
66,DBT,185,64,0.7814127386834023,0.7750033382294031,-0.006409400453999181
66,FHOD1,185,64,0.7814127386834023,0.7500333822940313,-0.03137935638937106
67,CYFIP2,199,73,0.7213354316546763,0.7638264388489209,0.04249100719424459
67,CRYL1,199,73,0.7213354316546763,0.7456160071942446,0.024280575539568305
67,PANK1,199,73,0.7213354316546763,0.7508992805755396,0.029563848920863278
67,FUT6,199,73,0.7213354316546763,0.7478642086330936,0.026528776978417268
67,CLCN5,199,73,0.7213354316546763,0.7474145683453237,0.02607913669064743
67,CADPS2,199,73,0.7213354316546763,0.7405575539568345,0.01922212230215825
67,HIBCH,199,73,0.7213354316546763,0.7393210431654677,0.017985611510791366
67,TCIRG1,199,73,0.7213354316546763,0.7383093525179856,0.01697392086330929
67,LRBA,199,73,0.7213354316546763,0.7485386690647482,0.027203237410071912
67,FHOD1,199,73,0.7213354316546763,0.736623201438849,0.015287769784172678
68,CYFIP2,200,67,0.75661510929311,0.7920235203885977,0.035408411095487646
68,PANK1,200,67,0.75661510929311,0.7838425156589544,0.02722740636584431
68,ACADM,200,67,0.75661510929311,0.7890834718138822,0.03246836252077212
68,FUT6,200,67,0.75661510929311,0.7770676211172185,0.020452511824108455
68,C1QTNF6,200,67,0.75661510929311,0.7775789339128212,0.020963824619711136
68,CADPS2,200,67,0.75661510929311,0.7791128722996292,0.022497763006519178
68,FHOD1,200,67,0.75661510929311,0.7626230346414419,0.006007925348331833
69,CYFIP2,182,61,0.7690406303105206,0.8122972346670787,0.04325660435655809
69,PANK1,182,61,0.7690406303105206,0.7971574231422833,0.028116792831762716
69,TEK,182,61,0.7690406303105206,0.7772284875637263,0.0081878572532057
69,EMCN,182,61,0.7690406303105206,0.7852618569442299,0.016221226633709285
69,HIBCH,182,61,0.7690406303105206,0.7829445388537,0.013903908543179355
69,PODXL,182,61,0.7690406303105206,0.7803182450177661,0.011277614707245531
69,GRAMD1A,182,61,0.7690406303105206,0.782326587362892,0.013285957052371344
70,DDC,194,67,0.7361340271608072,0.737276304099505,0.0011422769386977283
70,KL,194,67,0.7361340271608072,0.7398146972966113,0.003680670135804087
70,PANK1,194,67,0.7361340271608072,0.7412108135550197,0.005076786394212496
70,ACADM,194,67,0.7361340271608072,0.7414646528747303,0.005330625713923065
70,FUT6,194,67,0.7361340271608072,0.735626348521386,-5.076786394212496e-4
70,CLCN5,194,67,0.7361340271608072,0.729534204848331,-0.0065998223124762445
70,LRBA,194,67,0.7361340271608072,0.7382916613783475,0.0021576342175402274
70,GRAMD1A,194,67,0.7361340271608072,0.749079832466049,0.012945805305241809
70,DBT,194,67,0.7361340271608072,0.7285188475694885,-0.007615179591318744
71,CYFIP2,191,66,0.7644981665082168,0.7761781882384897,0.011680021730272938
71,ACADM,191,66,0.7644981665082168,0.713160396577482,-0.0513377699307348
71,CLCN5,191,66,0.7644981665082168,0.7411381230476708,-0.023360043460545987
71,C1QTNF6,191,66,0.7644981665082168,0.7568925709629227,-0.007605595545294053
71,TEK,191,66,0.7644981665082168,0.7581148988184164,-0.006383267689800354
71,EMCN,191,66,0.7644981665082168,0.7647697949205488,2.716284123319701e-4
71,TCIRG1,191,66,0.7644981665082168,0.7570283851690887,-0.007469781339128123
71,LRBA,191,66,0.7644981665082168,0.7687084068993617,0.004210240391144926
71,GRAMD1A,191,66,0.7644981665082168,0.744397663995654,-0.02010050251256279
71,IFFO1,191,66,0.7644981665082168,0.7476572049436371,-0.016840961564579704
71,ACAT1,191,66,0.7644981665082168,0.7198152926796143,-0.044682873828602476
71,DBT,191,66,0.7644981665082168,0.7435827787586582,-0.02091538774955859
71,TNFAIP2,191,66,0.7644981665082168,0.7506451174792883,-0.013853049028928477
71,FHOD1,191,66,0.7644981665082168,0.7450767350264837,-0.01942143148173303
72,CRYL1,206,67,0.7402448792768052,0.7537475683716672,0.013502689094862075
72,HHLA2,206,67,0.7402448792768052,0.7518022657054583,0.011557386428653116
72,DDC,206,67,0.7402448792768052,0.7499713926078498,0.009726513331044684
72,IQGAP2,206,67,0.7402448792768052,0.7500858221764504,0.00984094289964521
72,ACADM,206,67,0.7402448792768052,0.761071060762101,0.020826181485295803
72,TEK,206,67,0.7402448792768052,0.7663348209177252,0.026089941640920045
72,TCIRG1,206,67,0.7402448792768052,0.7508868291566541,0.0106419498798489
72,GRAMD1A,206,67,0.7402448792768052,0.7496281039020483,0.009383224625243103
72,IFFO1,206,67,0.7402448792768052,0.7488270969218446,0.008582217645039414
72,ACAT1,206,67,0.7402448792768052,0.7413891749628104,0.00114429568600527
73,CRYL1,204,72,0.773242380899989,0.7828143910221146,0.009572010122125607
73,PANK1,204,72,0.773242380899989,0.7658708328749038,-0.007371548025085217
73,IQGAP2,204,72,0.773242380899989,0.76730113323798,-0.005941247662008986
73,ACADM,204,72,0.773242380899989,0.7745626581582132,0.0013202772582242561
73,C1QTNF6,204,72,0.773242380899989,0.7863351303773792,0.013092749477390253
73,CADPS2,204,72,0.773242380899989,0.7829244141269667,0.009682033226977693
73,TEK,204,72,0.773242380899989,0.7725822422708769,-6.601386291120726e-4
73,EMCN,204,72,0.773242380899989,0.7679612718670921,-0.0052811090328969135
73,HIBCH,204,72,0.773242380899989,0.7717020574320608,-0.0015403234679282063
73,TCIRG1,204,72,0.773242380899989,0.772802288480581,-4.4009241940801136e-4
73,PODXL,204,72,0.773242380899989,0.7652106942457917,-0.00803168665419729
73,LRBA,204,72,0.773242380899989,0.7808339751347784,0.0075915942347893894
73,GRAMD1A,204,72,0.773242380899989,0.7720321267466168,-0.00121025415337217
73,IFFO1,204,72,0.773242380899989,0.7689514798107603,-0.004290901089228694
73,DBT,204,72,0.773242380899989,0.7721421498514688,-0.001100231048520195
73,TNFAIP2,204,72,0.773242380899989,0.7719221036417647,-0.0013202772582242561
73,FHOD1,204,72,0.773242380899989,0.7604797007371549,-0.012762680162834106
74,CYFIP2,189,65,0.7596316937242549,0.7748970196268476,0.015265325902592775
74,KL,189,65,0.7596316937242549,0.7625393748485583,0.002907681124303396
74,ACADM,189,65,0.7596316937242549,0.7638720620305306,0.004240368306275721
74,CLCN5,189,65,0.7596316937242549,0.7747758662466683,0.015144172522413402
74,C1QTNF6,189,65,0.7596316937242549,0.7622970680881996,0.0026653743639447613
74,CADPS2,189,65,0.7596316937242549,0.7635086018899928,0.0038769081657379356
74,TEK,189,65,0.7596316937242549,0.7601163072449721,4.846135207172697e-4
74,EMCN,189,65,0.7596316937242549,0.7467894354252483,-0.012842258299006537
74,TCIRG1,189,65,0.7596316937242549,0.7483644293675793,-0.011267264356675577
74,PODXL,189,65,0.7596316937242549,0.7546644051369034,-0.004967288587351515
74,LRBA,189,65,0.7596316937242549,0.7580566997819239,-0.00157499394233096
