draw,delta_c
760,-8.426522479504262e-4
761,0.003971856559237419
762,0.002490285151332705
763,0.010872258252568701
764,-0.010898519124193696
765,0.003896559110470643
766,0.004191339748334588
767,0.007687684406075823
768,-0.0011674796175315748
769,0.012829030969756372
770,0.0014064596940145057
771,-0.0026613506105158113
772,0.007389039941791442
773,0.006587473002159816
774,-0.0029253145938878842
775,0.0033572889891412714
776,0.008212176943180726
777,-0.009928435707563054
778,-0.004588097851099237
779,0.006744624669935861
780,-0.010405695676274928
781,-0.0034139909482912125
782,0.009520688677908461
783,0.007274467575975085
784,-0.0010459867141336733
785,0.009260977691993622
786,0.002860830286083005
787,0.013659954328420187
788,0.007858176268902261
789,0.0033264759538873647
790,0.010062770857220548
791,0.014822737791952723
792,0.005697346917486723
793,0.005064286115321981
794,0.010576488659980121
795,0.01783261122265666
796,-0.005479881296886813
797,0.002867009604662063
798,0.0014363426357166809
799,0.004611901451135625
800,0.0011769255342401364
801,0.012663966049382724
802,0.015965533816382126
803,1.492972106911461e-4
804,0.0067849521155575855
805,9.943842329291131e-4
806,-7.511007511007528e-4
807,0.006497500156893909
808,0.010707875252411968
809,0.013412874049841239
810,0.016038718720994105
811,0.008403996147381543
812,-0.012269262386966606
813,0.0030177291588080134
814,0.0011249843254572233
815,0.005291929238478521
816,-0.001497630331753541
817,0.0033153885220923995
818,0.0204260004817453
819,0.005965801823183603
820,-0.00247859135956896
821,0.010734573311260409
822,-0.005910555533988104
823,-0.005174589819099707
824,0.00481676133850043
825,-0.002931568631583392
826,0.001866452131938845
827,0.0021734479192668577
828,0.013675785094805637
829,0.0064852799227799515
830,-0.0032804792708528985
831,4.7183721616039787e-4
832,0.014643324029254879
833,-0.0025277534457177064
834,0.01062837297196072
835,8.763567028453711e-4
836,0.0013633834168057968
837,0.016713827221452027
838,0.004887239082989802
839,0.003655496076849729
840,0.01107479224376733
841,-0.006590675511538824
842,-0.00887667740435134
843,0.0064268641248934385
844,0.009407281658600008
845,0.004108454748859303
846,0.0020796185362530585
847,0.026391972487048908
848,-0.0030406482714636527
849,4.349193041291111e-4
850,-0.002715536697661802
851,-0.008232383112531595
852,0.007044458359423922
853,-0.003625040745252095
854,0.012726755063857498
855,7.82939777988334e-4
856,0.020686963309914153
857,0.002099099274361427
858,-0.002142240544016338
859,-0.005930058667893701
860,0.011597961191093641
861,-0.003758304555892489
862,-0.004846988964604471
863,-0.002198492462311563
864,0.004828153564899462
865,0.008617855808741092
866,0.008016192748464813
867,0.015184820854299874
