repeat_id,symbol,n_tested,clinical_c_index,clinical_gene_c_index,delta_c_index
9,PANK1,517,0.7577475156422525,0.7773279352226721,0.01958041958041956
9,IQGAP2,517,0.7577475156422525,0.7745859403754141,0.01683842473316155
9,ACADM,517,0.7577475156422525,0.7755980861244018,0.01785057048214933
9,FUT6,517,0.7577475156422525,0.7709422156790577,0.01319470003680523
9,CLCN5,517,0.7577475156422525,0.7735737946264263,0.01582627898417377
9,C1QTNF6,517,0.7577475156422525,0.7722856091277144,0.014538093485461867
9,CADPS2,517,0.7577475156422525,0.7657342657342657,0.007986750092013217
9,TEK,517,0.7577475156422525,0.7711078395288922,0.013360323886639658
9,EMCN,517,0.7577475156422525,0.7651085756348914,0.007361059992638919
9,HIBCH,517,0.7577475156422525,0.7678689731321311,0.010121457489878583
9,TCIRG1,517,0.7577475156422525,0.7693411851306589,0.011593669488406344
9,PODXL,517,0.7577475156422525,0.771071034228929,0.013323518586676464
9,LRBA,517,0.7577475156422525,0.7694147957305852,0.011667280088332732
9,GRAMD1A,517,0.7577475156422525,0.7704637467795363,0.012716231137283818
9,IFFO1,517,0.7577475156422525,0.7691939639308061,0.011446448288553568
9,ACAT1,517,0.7577475156422525,0.771071034228929,0.013323518586676464
9,DBT,517,0.7577475156422525,0.7621457489878543,0.004398233345601743
9,TNFAIP2,517,0.7577475156422525,0.767188075082812,0.009440559440559437
9,FHOD1,517,0.7577475156422525,0.7599926389400073,0.0022451232977548363
10,CYFIP2,517,0.7481413323518586,0.7674089068825911,0.019267574530732468
10,CRYL1,517,0.7481413323518586,0.7666912035333088,0.018549871181450128
10,HHLA2,517,0.7481413323518586,0.7636547662863452,0.015513433934486565
10,DDC,517,0.7481413323518586,0.7622377622377623,0.01409642988590365
10,KL,517,0.7481413323518586,0.7580787633419213,0.009937430990062612
10,PANK1,517,0.7481413323518586,0.7678873757821126,0.01974604343025399
10,IQGAP2,517,0.7481413323518586,0.7643908722856092,0.016249539933750556
10,ACADM,517,0.7481413323518586,0.7664703717335296,0.018329039381670964
10,FUT6,517,0.7481413323518586,0.7606735369893265,0.012532204637467848
10,CLCN5,517,0.7481413323518586,0.7630658814869341,0.01492454913507546
10,C1QTNF6,517,0.7481413323518586,0.7633603238866397,0.015218991534781012
10,CADPS2,517,0.7481413323518586,0.7544902465955097,0.006348914243651027
10,TEK,517,0.7481413323518586,0.7602134707397865,0.012072138387927867
10,EMCN,517,0.7481413323518586,0.7575634891424365,0.009422156790577896
10,HIBCH,517,0.7481413323518586,0.7588148693411851,0.010673536989326493
10,TCIRG1,517,0.7481413323518586,0.7629186602870813,0.014777327935222684
10,PODXL,517,0.7481413323518586,0.7571586308428413,0.00901729849098265
10,LRBA,517,0.7481413323518586,0.7586308428413692,0.010489510489510523
10,GRAMD1A,517,0.7481413323518586,0.759054103790946,0.01091277143908731
10,IFFO1,517,0.7481413323518586,0.762476996687523,0.014335664335664355
10,ACAT1,517,0.7481413323518586,0.760967979389032,0.0128266470371734
10,DBT,517,0.7481413323518586,0.7548214942951785,0.0066801619433198844
10,TNFAIP2,517,0.7481413323518586,0.7609311740890689,0.012789841737210206
10,FHOD1,517,0.7481413323518586,0.7529628266470372,0.00482149429517853
11,CYFIP2,517,0.7326647037173353,0.7505152741994847,0.01785057048214944
11,CRYL1,517,0.7326647037173353,0.7454913507545087,0.0128266470371734
11,HHLA2,517,0.7326647037173353,0.748214942951785,0.015550239234449759
11,DDC,517,0.7326647037173353,0.7455465587044534,0.012881854987118135
11,KL,517,0.7326647037173353,0.7448840633051159,0.012219359587780643
11,PANK1,517,0.7326647037173353,0.7524843577475157,0.019819654030180378
