symbol,tier,pathway_class,main_hr,main_hr_ci_low,main_hr_ci_high,main_log_hr,main_fdr,main_ph_p_value,main_n,main_events,ph_diagnostic_p_ge_0_05,main_warning_count,main_warning_text,stage_complete_log_hr,stage_complete_p_value,grade_complete_log_hr,grade_complete_p_value,sensitivity_pass
TSPYL1,strict_only,Unclassified,0.6980208640864437,0.5986387955703861,0.8139016888067659,-0.3595062854251755,8.711123700037367e-5,0.6577864283275285,517,170,TRUE,0,NA,-0.3804945423429543,1.184322385697436e-6,-0.37323251965560383,8.633729340563512e-8,TRUE
USP2,strict_only,Unclassified,0.6954199373690577,0.5952593268134848,0.8124339552631915,-0.3632393894583366,8.973173221506114e-5,0.7044539777893108,517,170,TRUE,0,NA,-0.36971313134860934,2.50286819397709e-6,-0.40384615280077585,5.466873492537648e-7,TRUE
SEMA3G,strict_only,Unclassified,0.6930770844697347,0.592174378258677,0.8111729629869867,-0.36661405297710525,9.400878269056356e-5,0.9810758810657738,517,170,TRUE,0,NA,-0.3980534031016765,2.299409822098056e-7,-0.39775269802536456,2.933716655709049e-7,TRUE
CAMK2A,strict_only,Unclassified,1.3628585839625982,1.193105290324339,1.5567641304948192,0.30958439381922714,9.541802285704566e-5,0.548966338668382,517,170,TRUE,0,NA,0.29500651539367906,1.0787974076025098e-5,0.30337513767276797,1.9463162279933727e-6,TRUE
AJAP1,strict_only,Unclassified,0.6934431776289227,0.5923776519080246,0.8117514883474349,-0.3660859782309902,9.782808383077652e-5,0.9874950427374052,517,170,TRUE,0,NA,-0.35394658308680027,6.8441366336129305e-6,-0.4441166426261248,1.2111876241846908e-8,TRUE
GLYATL1,strict_only,Unclassified,0.708505983197378,0.6107478519033397,0.8219115739205736,-0.34459677500720365,1.001035908157514e-4,0.4356951004850372,517,170,TRUE,0,NA,-0.3280729084724527,7.1269918355207565e-6,-0.3533370606596515,5.594618716749767e-7,TRUE
RIMKLA,strict_only,Unclassified,0.7204749059982378,0.62519776575806,0.8302718253379774,-0.3278446927427916,1.0882873056726868e-4,0.17440120070914145,517,170,TRUE,0,NA,-0.31311276891714096,1.287055462835748e-5,-0.3770612216724953,2.1500729778683e-8,TRUE
DBT,strict_only,Metabolism,0.6680336597459603,0.5608204978972398,0.7957429734234718,-0.4034167178737084,1.1327451435984336e-4,0.26667940739459617,517,170,TRUE,0,NA,-0.4193474221517086,2.147238091557871e-6,-0.44127471521919975,2.4578981500035554e-7,TRUE
MYO6,strict_only,Unclassified,0.7356856416505281,0.6439891796648411,0.8404385980715228,-0.3069523688164978,1.1327451435984336e-4,0.599952000362437,517,170,TRUE,0,NA,-0.33393756524383666,5.964056502731806e-7,-0.3113928742833446,3.782758792511309e-7,TRUE
SNORD89,strict_only,Unclassified,1.3667179424416966,1.1930962615386944,1.5656053869308724,0.3124122031981157,1.1812710119174844e-4,0.4981365755786272,517,170,TRUE,0,NA,0.2959852592993339,1.1866642661648165e-5,0.33224832739401683,7.509000799915394e-8,TRUE
FLT1,strict_only,Unclassified,0.7187414583876561,0.6224098768567335,0.8299824652752472,-0.33025357092358343,1.2185504727863796e-4,0.8618241385569706,517,170,TRUE,0,NA,-0.3309216758284991,4.065212927029753e-6,-0.3586231162240539,5.204400107838906e-7,TRUE
NTNG1,strict_only,Unclassified,1.3544329820007832,1.186656878111633,1.545930198163784,0.30338290328333695,1.2215075348609956e-4,0.8463017939885947,517,170,TRUE,0,NA,0.2907890956524401,1.233897773684914e-5,0.3091875163285009,3.859047383033333e-6,TRUE
SLC16A9,strict_only,Unclassified,0.7024587997874051,0.6020952262943271,0.8195520307240326,-0.3531685274835557,1.2468247958918958e-4,0.532869083545978,517,170,TRUE,0,NA,-0.3353643905352271,1.1382678219658191e-5,-0.3583091447454135,6.615823739675127e-7,TRUE
RALYL,strict_only,Unclassified,1.3818153553121704,1.199553434763316,1.5917704212595136,0.3233981095539967,1.2851163064100444e-4,0.19053574404901788,517,170,TRUE,0,NA,0.2840002858722817,5.458613561254849e-5,0.2646246187588385,2.3262412880900357e-4,TRUE
GALM,strict_only,Immune,0.6900611979726528,0.5863828517280796,0.8120709115966293,-0.3709749926098087,1.3581000796476892e-4,0.31076856213998355,517,170,TRUE,0,NA,-0.34558824653516007,2.2862054140755873e-5,-0.3266077509405086,8.34904055369018e-5,TRUE
GYG2,strict_only,Unclassified,1.4041983461470051,1.2097394181030987,1.6299154725517444,0.33946656781012063,1.3640147694401764e-4,0.35584144223530734,517,170,TRUE,0,NA,0.3608132903817487,1.5236307325289223e-6,0.3936438005550797,9.73236474723053e-8,TRUE
APOLD1,strict_only,Unclassified,0.7076365698285962,0.6078287342047292,0.8238332391672012,-0.34582463653308537,1.387526202895471e-4,0.5370848543505584,517,170,TRUE,0,NA,-0.366094149711772,1.2938369019936738e-6,-0.40500204803180023,1.0055355005144704e-7,TRUE
ATP1A1,strict_only,Unclassified,0.7055971429543972,0.6051339642415475,0.8227390256790768,-0.34871082339866405,1.4354390453122544e-4,0.8096256127870785,517,170,TRUE,0,NA,-0.3587773416229585,3.7512631178427367e-6,-0.4083761591457487,1.6933470290609608e-7,TRUE
CLIC5,strict_only,Unclassified,0.6959868915630416,0.5931830450409413,0.8166075501941429,-0.3624244527862258,1.4643955999431988e-4,0.5661359893343477,517,170,TRUE,0,NA,-0.3825502053047321,1.798267065233618e-6,-0.3780384312270104,2.3053216316183213e-6,TRUE
GK,strict_only,Unclassified,0.7012531359075858,0.5995540885624995,0.8202028307391996,-0.3548863502727546,1.491951839828207e-4,0.21699548910053468,517,170,TRUE,0,NA,-0.3557211907558903,6.781046581679353e-6,-0.31569890018152486,4.37042679040382e-5,TRUE
PAFAH2,strict_only,Unclassified,0.6741807822977088,0.5664062117040051,0.8024624692094224,-0.3942569810415528,1.5061378814876605e-4,0.07839584226788555,517,170,TRUE,0,NA,-0.3855869242670407,1.033067572440788e-5,-0.516926235003303,1.3699592381923302e-9,TRUE
UBE2C,strict_only,Unclassified,1.3859314612385902,1.199767202739877,1.6009822662800246,0.3263724487791741,1.509499587545067e-4,0.70314446213766435,517,170,TRUE,0,NA,0.35252540894419526,8.619696497826099e-7,0.43172171127233094,1.3107309192916387e-10,TRUE
CDCA7,strict_only,Unclassified,1.4527277827083431,1.2314857280223617,1.7137169864256658,0.3734430185904958,1.5348593660924868e-4,0.8594099185301576,517,170,TRUE,0,NA,0.4104040404502238,5.541152167930609e-7,0.4548735187799204,2.7786979010113993e-8,TRUE
FRK,strict_only,Unclassified,0.6870729370122978,0.5816425409616197,0.8116139854458392,-0.3753148249827792,1.6233744814212804e-4,0.9718339640323108,517,170,TRUE,0,NA,-0.35531654154100883,2.217458069676345e-5,-0.4580851157698095,3.2834911357227553e-8,TRUE
ENPP3,strict_only,Unclassified,0.727946532192568,0.6318155123840276,0.8387039307276457,-0.3175276782730803,1.720037698022961e-4,0.36047547947514014,517,170,TRUE,0,NA,-0.2792481582270993,8.019878430048918e-5,-0.24627038969489023,3.5039568959235315e-4,TRUE
ETNK2,strict_only,Unclassified,0.7251021192939664,0.6282319626655909,0.8369091587981993,-0.3214427798479092,1.720037698022961e-4,0.06968086619640144,517,170,TRUE,0,NA,-0.3500675200203023,1.184718357213563e-6,-0.2556311005832779,1.3700633166596873e-4,TRUE
CEACAM1,strict_only,Unclassified,0.7206033027113229,0.6226119560875499,0.8340172635641586,-0.3276664973989875,1.720037698022961e-4,0.9921771389837152,517,170,TRUE,0,NA,-0.3584965412309962,6.784584663917149e-7,-0.3107662789182425,1.706905587232082e-5,TRUE
SEMA6A,strict_only,Unclassified,0.7084382994762591,0.6074536254744892,0.8262109288964827,-0.34469230977451665,1.720037698022961e-4,0.9073901327723236,517,170,TRUE,0,NA,-0.3027024584021342,2.069983115154593e-5,-0.3564209752833347,4.424999068170333e-6,TRUE
TRNP1,strict_only,Unclassified,1.3733974392594424,1.192276784447414,1.5820324196269595,0.31728755267630077,1.720037698022961e-4,0.8522128644281977,517,170,TRUE,0,NA,0.3151761190122773,6.396951758680443e-6,0.3573108935181047,4.831422805064103e-7,TRUE
ABCD3,strict_only,Metabolism,0.6837100317450776,0.5771349114090525,0.8099655700390245,-0.38022138144065143,1.720037698022961e-4,0.6926500543989915,517,170,TRUE,0,NA,-0.39150587210112026,5.4184914058922475e-6,-0.3841243437174917,2.3457406548337067e-6,TRUE
FZD1,strict_only,Unclassified,0.7415844698615353,0.64906783937358,0.8472882071473031,-0.29896620634467497,1.720037698022961e-4,0.3814187164799976,517,170,TRUE,0,NA,-0.26691227454780375,5.8414747506003805e-5,-0.25763490242692044,3.32037162406004e-5,TRUE
