ID,Description,term_size,overlap,gene_ratio,background_ratio,pvalue,p.adjust,genes
GO:0009953,dorsal/ventral pattern formation,20,5,0.004201680672268907,8.45058520302531e-4,0.0026228974272912587,0.040019677152342406,3207;57453;649;7092;9241
GO:0048675,axon extension,20,5,0.004201680672268907,8.45058520302531e-4,0.0026228974272912587,0.040019677152342406,1906;54413;54437;55558;9037
GO:0090267,positive regulation of mitotic cell cycle spindle assembly checkpoint,20,5,0.004201680672268907,8.45058520302531e-4,0.0026228974272912587,0.040019677152342406,10403;140735;332;55143;9212
GO:0003009,skeletal muscle contraction,29,6,0.005042016806722689,0.0012253348544386698,0.0027972407229174497,0.04170237505234946,124093;246329;7138;7273;79784;92241
GO:0010604,positive regulation of macromolecule metabolic process,29,6,0.005042016806722689,0.0012253348544386698,0.0027972407229174497,0.04170237505234946,10318;10616;144455;4008;64170;79092
GO:0048678,response to axon injury,29,6,0.005042016806722689,0.0012253348544386698,0.0027972407229174497,0.04170237505234946,1809;23767;3745;4914;64805;664
GO:0006694,steroid biosynthetic process,60,9,0.007563025210084034,0.0025351755609075927,0.0029154723335122683,0.04313573838901106,1576;1582;1595;2222;2230;3156;3158;3422;50700
GO:0008206,bile acid metabolic process,13,4,0.0033613445378151263,5.492880381966452e-4,0.0031551916420455577,0.04564510575492573,11001;1645;2494;30
GO:0010745,negative regulation of macrophage derived foam cell differentiation,13,4,0.0033613445378151263,5.492880381966452e-4,0.0031551916420455577,0.04564510575492573,1071;1401;5465;9619
GO:0045842,positive regulation of mitotic metaphase/anaphase transition,13,4,0.0033613445378151263,5.492880381966452e-4,0.0031551916420455577,0.04564510575492573,11065;5347;9787;991
GO:0007339,binding of sperm to zona pellucida,21,5,0.004201680672268907,8.873114463176575e-4,0.0033016571540681636,0.04706668921091331,136242;203102;22917;284359;54742
GO:0034375,high-density lipoprotein particle remodeling,21,5,0.004201680672268907,8.873114463176575e-4,0.0033016571540681636,0.04706668921091331,1071;119548;3931;55937;9619
GO:0007160,cell-matrix adhesion,97,12,0.010084033613445379,0.004098533823467275,0.003407593277699112,0.04822485269091569,158326;255743;27329;341640;3611;3897;5329;6614;7059;7412;80144;960
GO:0002040,sprouting angiogenesis,31,6,0.005042016806722689,0.001309840706468923,0.00398005760847256,0.05512803198118376,1012;11082;144455;2321;7010;8829
GO:0015701,bicarbonate transport,31,6,0.005042016806722689,0.001309840706468923,0.00398005760847256,0.05512803198118376,266675;57835;7439;762;83959;9498
GO:0042594,response to starvation,31,6,0.005042016806722689,0.001309840706468923,0.00398005760847256,0.05512803198118376,10891;2642;3158;38;5105;5106
