accession,symbol,log2FoldChange,log2fc_ci_low,log2fc_ci_high,AveExpr,t,pvalue,padj,B,significant
GSE53757,CEP164,0.07522012807746432,-0.029975602980229166,0.1804158591351578,8.129196608717033,1.4132973490769427,0.15971710022038366,0.2124485351457693,-6.613596102707644,FALSE
GSE53757,LOC100505478,-0.24599042489178516,-0.5900508465193738,0.0980699967358035,4.551734496507922,-1.4131266192055816,0.15976719682107493,0.21250281730416196,-6.613835154577956,FALSE
GSE53757,MYCBPAP,-0.207079551298648,-0.4967620460147615,0.08260294341746552,3.6079589725624075,-1.4129036766181067,0.15983263207028944,0.2125729115439605,-6.614147271149654,FALSE
GSE53757,OR1J4,-0.22629056390651056,-0.5428517046188921,0.090270576805871,4.418121742862413,-1.412883763468488,0.15983847771863183,0.2125729115439605,-6.61417514695631,FALSE
GSE53757,CCNT2-AS1,0.3235829752875022,-0.12915163376301736,0.7763175843380217,3.8497117681440796,1.4126662210710137,0.15990234949506144,0.21264549587021248,-6.614479652986476,FALSE
GSE53757,GRIN3A,0.19298971848820967,-0.07708610724920295,0.4630655442256223,3.9998069895640946,1.4123620900319698,0.1599916769105721,0.21275192187108508,-6.61490528543646,FALSE
GSE53757,IAPP,0.3579091339478362,-0.14297886343153077,0.8587971313272031,3.5211862579668147,1.4123090718872358,0.16000725296096868,0.2127602689456014,-6.61497947539037,FALSE
GSE53757,DGCR8,-0.08594601926993202,-0.2062305868282347,0.03433854828837064,8.282093302806201,-1.4122560605381111,0.16002282817311425,0.21276861393542854,-6.615053653126391,FALSE
GSE53757,EBAG9,0.057808333448658766,-0.023101375811287586,0.1387180427086051,11.08872094445799,1.4121713639653486,0.16004771519299255,0.21278933834712474,-6.615172161750941,FALSE
GSE53757,PPP4R1,0.06834062794221123,-0.027337263031457934,0.16401851891588037,10.888880372303257,1.4117732972348387,0.16016472168780543,0.21293252947222474,-6.61572904965998,FALSE
GSE53757,FLJ21408,-0.1594878646002574,-0.3828315936493715,0.06385586444885671,5.46205756971979,-1.4114044166277009,0.1602732076229897,0.21306040928587322,-6.616244970393426,FALSE
GSE53757,BAGE2,-0.19664042474065577,-0.4720160789843131,0.07873522950300152,5.839885458757698,-1.4113829072056558,0.16027953516732735,0.21306040928587322,-6.616275049676203,FALSE
GSE53757,C11orf40,-0.30210575872787104,-0.7251999748763198,0.12098845742057779,3.142500936904191,-1.4113005387892805,0.1603037676992078,0.21308024196583245,-6.616390231487686,FALSE
GSE53757,LINC01192,-0.21858264088755627,-0.5247899052953892,0.08762462352027658,4.790033216727247,-1.4109049950941568,0.16042017440731549,0.21322258571159394,-6.616943258213964,FALSE
GSE53757,TADA3,-0.14480388821796508,-0.3477109454658537,0.05810316902992352,7.3860592230065745,-1.4105245943474478,0.16053218549788098,0.2133590708214648,-6.617474970680618,FALSE
GSE53757,CRISP1,-0.24633741640098086,-0.5915436086030497,0.09886877580108797,3.656343855019515,-1.4104230496276737,0.1605620959952209,0.21338642869253333,-6.617616883182229,FALSE
GSE53757,EXTL3,0.14984452218065988,-0.06016863156909216,0.35985767593041196,6.708745244760696,1.4102365499092984,0.16061704149048384,0.2134470528722931,-6.617877497546679,FALSE
GSE53757,RNF215,-0.27594029868489867,-0.6627816438497283,0.11090104647993093,5.552117637761026,-1.4098724921134882,0.16072433950941253,0.213577238237621,-6.618386134644563,FALSE
GSE53757,LOC101929645,0.3286828113678996,-0.13223151982877673,0.789597142564576,3.7323003185312773,1.409465250489308,0.1608444298482667,0.21372440646543597,-6.61895495390272,FALSE
GSE53757,LINC00165,0.22686992130525682,-0.09151230653154688,0.5452521491420605,5.662073055214453,1.4083989575723492,0.1611591904431224,0.2141302135504437,-6.620443553086994,FALSE
GSE53757,ERC1,-0.08661347531004353,-0.20824540249342216,0.03501845187333512,7.218946954175357,-1.4074580802893957,0.161437319625298,0.21448730462962767,-6.621756155418566,FALSE
GSE53757,RP11-190A12.8,-0.14862419529622842,-0.35749875930443764,0.060250368711980806,7.784458588031711,-1.4063763407150691,0.16175754099550235,0.21490027511189722,-6.623264217765004,FALSE
GSE53757,PDYN,-0.21704754091918202,-0.5222033953628703,0.0881083135245063,3.6809476148896185,-1.4058233592792526,0.16192142405891374,0.21510550905579437,-6.624034698135317,FALSE
GSE53757,MCM3AP-AS1,-0.15124412087091832,-0.36392964918220805,0.06144140744037141,5.652931252004054,-1.4055236361848529,0.1620103037034117,0.21521108620146656,-6.624452185263219,FALSE
GSE53757,NDUFA2,-0.15474720764618669,-0.37237868235860205,0.06288426706622866,7.253403540252729,-1.4053959835475065,0.16204816900890984,0.2152488886457972,-6.624629967527137,FALSE
GSE53757,AK125860,-0.3144083923527423,-0.7566124050392858,0.1277956203338012,4.560256142477694,-1.4052999883130102,0.16207664829809987,0.21527137338338653,-6.624763650068209,FALSE
GSE53757,MDC1,0.09426569480987022,-0.03831789998355932,0.22684928960329975,8.086269283215396,1.405275500295443,0.16208391386694054,0.21527137338338653,-6.624797750551364,FALSE
GSE53757,FAM95B1,0.29653681070521537,-0.12061058237808342,0.7136842037885142,4.684070261287614,1.405033471534808,0.16215573690243806,0.21535426400788152,-6.625134753583879,FALSE
GSE53757,SAP30L,-0.08492341140464814,-0.20440552763961317,0.03455870483031691,7.454093723308181,-1.4048246446282757,0.16221772665121634,0.21542408646931507,-6.625425480665818,FALSE
GSE53757,KMT2E-AS1,0.22093992720673294,-0.08997633392576115,0.531856188339227,6.724457729949334,1.404521403935098,0.1623077750658256,0.2155311603892101,-6.625847574976392,FALSE
GSE53757,GHDC,-0.1377348294697807,-0.33157322905356845,0.0561035701140071,9.558201494014206,-1.40443470286682,0.1623335282646209,0.2155528481628766,-6.625968241779797,FALSE
GSE53757,LOC101928231,-0.30216988018705165,-0.7274680809953349,0.12312832062123158,3.6871676382039045,-1.404284876737269,0.16237803912065066,0.21559943912955473,-6.626176746233107,FALSE
GSE53757,ARHGAP32,-0.10290732499467803,-0.24780808303419372,0.04199343304483766,7.768953094788432,-1.4036965211613153,0.16255291980921696,0.21581911479341287,-6.626995317641389,FALSE
GSE53757,TBL3,0.11397184433956808,-0.04655632020720915,0.2745000088863453,5.946964569834997,1.4032786834007493,0.1626772035562762,0.21597159204871763,-6.627576447148554,FALSE
GSE53757,RDH16,-0.29033016735113587,-0.6993136545659886,0.11865331986371686,4.96404590160044,-1.4030850030727566,0.16273483735938102,0.2160355717309334,-6.627845760992553,FALSE
GSE53757,TREML4,0.1634309405074791,-0.06681686114901253,0.39367874216397075,4.438663782058398,1.4029312188348098,0.16278061029394875,0.21608379922984144,-6.628059573282607,FALSE
GSE53757,CTB-25B13.12,-0.12864610781364658,-0.3099293369509114,0.052637121323618224,7.151846766514088,-1.402608978215827,0.16287655505632034,0.21619861807092935,-6.628507523162719,FALSE
GSE53757,PTTG2,0.32326029008602947,-0.13227926187996653,0.7787998420520255,4.44663785173981,1.402567786094108,0.16288882281192194,0.21620235908671387,-6.628564777521494,FALSE
GSE53757,ITPRIPL1,0.16910736444656238,-0.06931109031867078,0.40752581921179554,6.30648610803214,1.4019103564425348,0.16308471251007015,0.21644980696272434,-6.62947834034298,FALSE
GSE53757,ZNF736,0.11697026998415842,-0.04794889621410624,0.28188943618242307,6.713196095051895,1.401851316382044,0.16310231304185718,0.21646061034789396,-6.629560361887279,FALSE
GSE53757,GSTCD,-0.06712612166900726,-0.16177910656893163,0.02752686323091709,7.3840554233825895,-1.4016992261778232,0.16314765957451016,0.21650823334289152,-6.629771638081664,FALSE
GSE53757,EN1,0.3153496894736954,-0.12942700026163256,0.7601263792090234,4.790153913843626,1.4013543994474391,0.16325050714014996,0.21663215423771204,-6.630250571709542,FALSE
