accession,symbol,log2FoldChange,log2fc_ci_low,log2fc_ci_high,AveExpr,t,pvalue,padj,B,significant
GSE53757,CETN2,-0.49825267170602716,-0.6094745189316834,-0.38703082448037096,11.856193358710044,-8.927340382666632,2.425972505437246e-13,1.4641585577526823e-12,19.696588695416455,FALSE
GSE53757,KCTD20,0.4323896895835605,0.33586782413587335,0.5289115550312476,9.73431677008286,8.927136684003743,2.4281144303871835e-13,1.4650648250859377e-12,19.695709748857833,FALSE
GSE53757,IRF2BP2,0.434104040182044,0.3371934384447617,0.5310146419193263,10.626705169802259,8.926579952465737,2.433978222643821e-13,1.4682157061452842e-12,19.69330748348936,FALSE
GSE53757,RASAL3,1.2687874991268626,0.985524380239402,1.5520506180143232,7.54304441423658,8.926093258015403,2.4391159658210544e-13,1.4709270769105358e-12,19.691207418496425,TRUE
GSE53757,NDUFV2,-0.4699431284461893,-0.5748844142950422,-0.36500184259733637,12.051494435345973,-8.924039500378532,2.460916169264821e-13,1.4836827919045877e-12,19.682345486537965,FALSE
GSE53757,RP11-111M22.3,-0.7654171912154732,-0.9363418617362935,-0.594492520694653,8.726728355379107,-8.923927274924214,2.4621130266998706e-13,1.484013331161566e-12,19.681861232733716,FALSE
GSE53757,STX4,0.3706087286657615,0.28780821550766783,0.45340924182385517,9.330121851965712,8.919595852881736,2.508754845991089e-13,1.5117279661911013e-12,19.663170894079474,FALSE
GSE53757,SSUH2,-1.601147826779655,-1.9590354720837717,-1.2432601814755384,5.273698907522988,-8.91553245888152,2.5533147487297954e-13,1.5381738138740842e-12,19.64563673327991,TRUE
GSE53757,KCNN2,-1.3824964531426438,-1.6915537478445413,-1.0734391584407463,7.193486567042189,-8.914307039376377,2.5669078672313643e-13,1.545955567313862e-12,19.64034879101579,TRUE
GSE53757,NDUFA13,-0.39188077145241385,-0.47948962654697636,-0.30427191635785134,12.744924732639726,-8.91391546281582,2.5712667420569925e-13,1.548173238375368e-12,19.638659049055672,FALSE
GSE53757,TOM1L2,-0.7255519811035112,-0.8877602800533868,-0.5633436821536355,6.382287873292454,-8.91370021616812,2.5736659392304786e-13,1.5492101207469969e-12,19.637730209361646,FALSE
GSE53757,SNX33,0.5156727056799217,0.40036718356269446,0.6309782277971491,8.649861392733133,8.912234391256579,2.5900641554555206e-13,1.5586709068075304e-12,19.63140480463278,FALSE
GSE53757,MORC3,0.5155366897984874,0.40024377764608043,0.6308296019508944,10.218966033333716,8.91085816817552,2.605555233124381e-13,1.5675809554006269e-12,19.6254660117611,FALSE
GSE53757,HDAC6,-0.8192471482038657,-1.002469701005727,-0.6360245954020044,7.5293868269769035,-8.910428098243013,2.610415202880625e-13,1.570092004256275e-12,19.623610129587547,FALSE
GSE53757,ORAI3,0.6454124554644769,0.5010649867625288,0.789759924166425,10.490650602626566,8.910267275651384,2.6122348968446527e-13,1.570773572662435e-12,19.622916130304244,FALSE
GSE53757,C2orf54,-1.5001700223267926,-1.835738114029303,-1.1646019306242823,6.572105297735852,-8.90886516856541,2.6281535411016133e-13,1.579930452454149e-12,19.61686558028076,TRUE
GSE53757,DGKA,1.0577072962179033,0.8211052712076359,1.2943093212281707,7.213053838876285,8.908602975888078,2.6311410779876314e-13,1.5813109499437093e-12,19.61573412851598,TRUE
GSE53757,POLR3B,-0.9883873118482661,-1.209493176366419,-0.7672814473301132,6.510695924751261,-8.9081897953509,2.635855941187105e-13,1.583728569704857e-12,19.613951109082127,FALSE
GSE53757,L3MBTL4,-0.6677941881485371,-0.8172023682178893,-0.5183860080791849,7.2182190942821425,-8.906987050927912,2.649628857780863e-13,1.5912511395235352e-12,19.60876082261603,FALSE
GSE53757,ACMSD,-1.5523715116083632,-1.8996900712928424,-1.205052951923884,11.769076731872673,-8.906975021229433,2.6497669762170757e-13,1.5912511395235352e-12,19.608708909865882,TRUE
